DNI,NOMBRE,Ciudad,GRUPO,PROMEDIO,EDAD,SEXO
99238303,Chandler Foley,Lima,A,12,26,M
99055253,Graham Montoya,Callao,A,5,34,M
91750618,Roary Best,Lima,B,12,82,M
34443293,George Webb,Lima,A,19,34,F
35294346,Remedios Wooten,Lima,C,7,71,F
47299351,Kadeem Green,Callao,C,13,21,M
77377734,Roanna Mcdowell,Lima,B,2,55,F
73749475,Hermione Hinton,Lima,B,19,86,F
86115952,Timothy Floyd,Lima,B,12,63,F
31501855,Leroy Marsh,Callao,D,8,79,M
16613766,Tanner Barlow,Callao,F,1,26,F
72640358,Genevieve Rogers,Lima,B,1,57,F
73014061,Tanek Guy,Lima,B,19,47,F
80336407,Roth Cherry,Callao,D,6,97,M
75039545,Kibo Dorsey,Lima,D,3,85,F
17883011,Zeus Roberson,Lima,C,3,87,F
48812761,Adria Schultz,Callao,F,5,45,M
83803737,Justina Bird,Callao,D,3,49,M
85878003,Genevieve Hays,Lima,D,15,85,M
89360115,Joy Lang,Lima,B,5,74,M
86027807,Ina Alexander,Lima,C,7,92,M
51542844,Guinevere Leon,Lima,F,12,41,F
38558376,Malik Monroe,Lima,C,7,47,M
31814224,Ignacia Edwards,Lima,F,16,55,F
85236342,Nigel Tanner,Callao,D,2,68,F
47064790,Whitney Nieves,Callao,F,13,43,F
26448720,Glenna Schultz,Callao,B,1,13,F
26716322,Jordan Cannon,Callao,A,9,11,M
72732360,Finn Hart,Lima,F,3,52,M
97269989,Kenneth Delaney,Lima,D,7,91,F
23096214,Quynn Floyd,Lima,D,5,72,M
99959738,Zelda Douglas,Lima,F,12,49,F
42765411,Tana Kirby,Lima,C,12,17,F
88327695,Naida Gonzalez,Callao,A,10,46,F
51019736,Jakeem Baxter,Callao,G,3,61,M
16493399,Audrey Macdonald,Lima,C,17,84,F
46306278,Arthur Moore,Callao,D,5,99,M
53613230,Lev Mclaughlin,Lima,C,13,45,M
18950777,Nehru Velazquez,Callao,A,7,36,M
64752882,Sierra Vargas,Lima,F,10,44,F
31575712,Ocean Jarvis,Lima,C,13,97,M
95759519,Ira Rogers,Callao,F,9,79,F
77027448,Lars Hopkins,Callao,D,11,57,M
59419704,Sonya Cleveland,Callao,F,14,17,M
63544007,Solomon Fields,Callao,B,18,90,M
32856844,Tucker Gilbert,Lima,C,4,61,M
69211245,Acton Little,Lima,B,9,14,F
95027984,Vielka Strong,Lima,B,6,36,M
10189150,Aladdin Mitchell,Lima,D,3,14,M
68066965,Cruz Floyd,Lima,C,14,58,F
84101183,August Morrison,Lima,F,7,77,F
96455310,Caldwell Raymond,Lima,C,10,33,M
87380612,Ciara Wilkinson,Lima,C,8,68,M
80766318,Regan Strong,Callao,F,11,66,F
82567237,Dahlia Dominguez,Lima,C,3,51,F
67916423,Zeus Padilla,Lima,F,17,52,F
76653838,Shaine Wyatt,Lima,D,16,92,F
99029510,Jemima Battle,Lima,G,15,47,M
47619298,Sylvia Carey,Callao,F,14,67,M
17939006,Mariam Finch,Callao,F,17,55,M
14966074,Clinton Hopkins,Lima,G,6,65,M
54278311,Jasmine Mcclain,Lima,B,9,92,M
40515296,Germaine Church,Lima,F,9,37,M
60508782,Felicia Allen,Lima,F,12,90,F
31159077,Roary Castaneda,Lima,D,10,33,F
13630475,Camden Owen,Lima,B,15,69,F
17210405,Buckminster Jacobs,Callao,C,11,83,F
44672092,Minerva Patel,Lima,D,2,63,M
40079814,Joel Morse,Lima,C,0,78,F
85420778,Ginger Weber,Lima,B,0,17,F
73130902,Karleigh Luna,Lima,A,14,14,M
49671232,Honorato Page,Lima,G,14,82,M
55566717,Autumn Cannon,Lima,D,4,79,M
72129480,Audrey Sawyer,Callao,C,5,31,M
59642383,Macon Williams,Lima,B,19,60,F
37383532,Ryan Hardin,Lima,D,8,15,F
78581570,Cairo Kane,Callao,G,19,90,F
40770959,Thomas Rivers,Callao,B,9,75,F
57069026,Melvin Strickland,Lima,G,11,51,F
45165536,Jin Herrera,Callao,C,15,98,F
92813104,Kaye Vaughn,Callao,C,1,99,M
36793376,Teagan Black,Callao,G,18,55,F
96014488,Eaton Adkins,Lima,F,4,83,M
43451477,Martena Cooke,Lima,F,5,67,F
74776735,Aiko Maddox,Lima,F,11,59,F
34481287,Noelle Harrison,Lima,D,1,24,F
58539418,Hermione West,Callao,B,4,84,M
42557991,Basia Nicholson,Callao,C,6,98,M
40909476,Jorden Roberson,Callao,C,12,52,F
58203484,Colton Fulton,Lima,C,5,30,M
87919744,Jermaine Lawrence,Lima,F,18,68,F
61517808,Alan Holt,Lima,F,7,53,F
66000057,Carson Vazquez,Lima,G,8,89,M
61227778,Baxter Bauer,Lima,G,15,52,M
16231092,Ora Rose,Lima,F,3,96,M
15045126,Peter Knowles,Callao,C,15,75,M
25351798,Kim Ortiz,Callao,D,12,89,F
68283649,Patience Gould,Callao,B,8,90,F
36335857,Carol Blackwell,Lima,D,2,20,F
68256374,Desiree Henderson,Lima,B,18,32,M
31412846,Haviva Serrano,Callao,D,12,60,F
34861034,Jemima Kelly,Callao,A,13,36,M
22515356,Lev Pittman,Lima,D,9,40,F
86835298,Jenette Hodges,Lima,G,2,65,F
96461816,Cruz Ellis,Lima,F,17,92,F
69158722,Damon Horne,Callao,C,13,98,F
12371044,Kylee Phelps,Lima,C,16,53,M
48963122,Amethyst Ellis,Lima,C,14,70,F
85006813,Maxwell Boyd,Lima,F,7,99,M
59999810,Ivana Bonner,Lima,F,14,24,F
10669829,Hannah Vasquez,Lima,B,13,61,F
71591443,Hayfa Mayer,Lima,G,11,39,M
30551739,Laith Lopez,Callao,D,12,18,F
11278797,Anastasia Vega,Callao,D,15,49,F
30270017,Mariko Guzman,Lima,B,11,65,F
68297809,Cole Vincent,Lima,D,18,27,M
12391596,Randall Giles,Callao,G,18,22,F
40166940,Dorothy Ortega,Lima,C,16,51,F
43259873,Ava Mcdowell,Callao,C,8,76,M
71041191,Sierra Cantu,Lima,B,10,27,F
40294864,Ralph Gamble,Callao,C,1,34,F
36270413,Dalton Bowers,Lima,B,5,44,M
89997749,Cody Johns,Lima,F,14,98,F
86023894,Ethan Case,Lima,F,7,47,M
70499290,Yoshi Hodges,Lima,D,0,66,M
72150228,Alisa Beach,Lima,A,6,91,F
96970039,Drew Sears,Callao,F,6,63,M
75398226,Athena Lara,Lima,D,17,19,M
80392510,Sandra Frederick,Lima,F,20,34,F
71641208,Chiquita Graves,Lima,D,3,38,F
26583275,Driscoll Jenkins,Callao,F,19,33,M
86961861,Nell Bradley,Lima,C,9,11,M
74007224,Ciaran Wooten,Lima,G,20,54,M
91774387,Fay Bradley,Lima,B,2,74,F
82883218,Zephania Dorsey,Callao,F,11,43,M
23046242,Samuel Ewing,Lima,F,6,36,M
36594556,Leo Preston,Lima,F,8,82,M
91762187,Fiona Hunt,Callao,B,9,46,M
60533135,Charles Sears,Lima,F,17,28,F
94482536,Dacey Blevins,Lima,B,1,81,M
65906380,Eve Nieves,Lima,C,19,89,M
19607791,Flynn Davidson,Lima,B,9,77,M
41861248,Acton Hatfield,Lima,D,16,65,M
65023552,Vernon Stanton,Callao,B,3,59,F
89954926,Owen Cline,Lima,C,8,27,M
67702308,Lucius Austin,Lima,F,17,60,M
22698204,Ronan Marquez,Lima,G,4,76,M
17979900,TaShya Austin,Callao,F,11,42,F
63380190,Risa Herman,Callao,F,12,74,F
23537581,Laith Franklin,Lima,C,8,86,M
15995989,Jackson Finch,Callao,F,8,39,F
74111774,Adele Lindsay,Lima,B,17,70,M
12002413,Rahim Nicholson,Lima,D,16,33,F
21134403,Jarrod Wilson,Callao,F,12,79,F
54625232,Miriam Lindsey,Callao,C,16,35,F
96595058,Fallon Villarreal,Lima,B,2,64,F
11925681,Sharon Benjamin,Callao,F,17,12,M
15514492,Eliana Murphy,Lima,D,5,48,M
85330097,Inez Orr,Lima,G,8,64,M
76778199,Amethyst Baker,Lima,F,19,30,F
40525669,Damian Curry,Callao,C,20,48,F
82815304,Adrian Porter,Callao,F,7,96,F
19019547,Jolie Landry,Lima,A,13,70,M
13247554,Janna Briggs,Callao,F,6,41,M
49827127,Emmanuel Rosales,Lima,F,3,84,F
24429146,Breanna Marquez,Lima,B,7,67,M
61175050,Lionel Noble,Callao,D,0,60,F
36102268,Marshall Hobbs,Lima,C,3,62,F
19049308,Herman Alvarez,Callao,A,1,85,F
49613402,MacKensie Caldwell,Callao,D,9,13,M
64099597,Bruno Kirk,Lima,G,17,72,M
21947345,Alice Hays,Callao,G,9,99,M
35234252,Isabella Joseph,Callao,B,1,58,F
69963208,Ahmed Bowers,Callao,F,4,93,M
11806798,Kennan Garza,Lima,G,11,30,M
72608809,Aladdin Miller,Lima,B,4,24,M
80899601,Zia Forbes,Callao,D,8,76,M
17021913,Jason Britt,Callao,D,19,92,M
90795633,Laith Jenkins,Callao,C,7,56,M
55722397,Ryder Humphrey,Lima,B,1,49,F
82756964,Jelani Dejesus,Lima,C,6,77,F
77822446,Avram Dickerson,Lima,A,15,63,F
65283855,Jessamine Anthony,Lima,C,8,82,F
39116193,Nayda Durham,Callao,B,19,92,M
21698951,Lane Potter,Lima,B,3,42,F
75077994,Maryam Brennan,Lima,G,16,11,F
86261811,Nina Little,Lima,F,15,98,M
76674941,Tamekah Brewer,Lima,B,16,81,M
69031833,Ruth Owens,Lima,D,15,19,M
54537690,Quyn Frost,Lima,B,2,97,F
82638169,Libby Taylor,Lima,D,4,82,M
72934657,Ifeoma Sanchez,Lima,B,2,19,M
24288696,Quynn Greene,Callao,C,7,27,F
25573649,Kenyon Farley,Lima,F,6,51,M
33593778,Courtney Fernandez,Lima,G,2,83,M
71383334,Driscoll Underwood,Callao,G,6,94,F
38476411,Plato Mercer,Callao,C,19,15,F
50357392,Melvin Glover,Lima,C,15,13,M
73542733,April Morin,Callao,G,19,43,M
40292138,Aristotle Walton,Lima,A,16,68,F
55086119,Caryn Brooks,Lima,C,3,56,F
41627524,Lester Foley,Lima,B,19,87,F
32302644,Bernard Dalton,Lima,C,4,56,M
38925691,Luke Mcintosh,Lima,F,9,86,F
26553451,Kamal Reynolds,Callao,A,13,99,M
69315839,Priscilla Ford,Callao,B,13,81,M
28039887,Adele Bartlett,Lima,C,17,60,M
42488386,Noble Frazier,Lima,F,11,48,M
88883123,Velma Strickland,Callao,G,19,72,F
66109697,Steven Murphy,Lima,G,5,51,F
88414386,Solomon Turner,Lima,B,1,73,M
84672370,Candace Osborne,Lima,F,16,60,M
82556420,Tyler Moses,Lima,B,3,98,M
88482014,Noah Tyson,Callao,A,1,91,F
95696341,Florence Oliver,Callao,G,9,95,M
95454636,Adam Buckley,Callao,G,13,86,M
71987189,Latifah Grant,Lima,C,3,64,F
69211255,Pandora Carlson,Lima,A,2,19,M
85580142,Samuel Gill,Lima,G,14,43,F
14567801,Wanda Gonzales,Lima,C,1,99,F
25533238,Leslie Burton,Callao,B,5,82,F
98829767,Orla Chambers,Lima,C,12,37,M
35849764,Heather Cervantes,Lima,C,12,43,F
75562151,Jocelyn Barton,Callao,C,12,66,M
75254108,Paula Mcconnell,Callao,C,7,76,F
98353296,Nero Murray,Callao,F,2,99,F
24734992,Yasir Wyatt,Lima,F,7,58,F
96458895,Gray Strong,Lima,F,15,17,M
15157597,Nigel Schroeder,Lima,G,15,56,M
11240492,Jaden Woodward,Callao,B,9,100,M
45469070,Elton Gray,Lima,C,3,16,F
80275935,Jayme Osborne,Callao,D,20,94,M
38382505,Ignatius Mcgowan,Lima,D,2,56,M
94613033,Brendan Carey,Callao,B,17,56,F
64010149,Fletcher May,Lima,C,6,59,M
94413516,Hilda Hull,Callao,B,17,24,M
89952993,Simon Martin,Lima,C,3,31,M
63964860,Hadley Montgomery,Lima,C,9,100,F
35569851,Nash Dejesus,Lima,F,2,69,M
86259122,Colorado Gomez,Callao,F,6,73,M
59625334,Abraham Gardner,Lima,D,16,14,M
33223944,Harper Rose,Lima,A,3,53,M
69490107,Hayes Gentry,Callao,C,7,24,F
27264278,Alana Henderson,Lima,F,7,18,F
70025282,Sarah Tucker,Callao,G,3,61,M
85470112,Nyssa Hendrix,Lima,B,6,55,F
89999599,Bert Baldwin,Callao,A,17,32,M
19521476,Ariel Crosby,Callao,C,7,36,F
81274799,Hilel Ayers,Lima,B,10,23,M
66279396,Libby Doyle,Lima,D,18,68,M
57812604,Caldwell Santos,Callao,G,11,45,F
32113685,Patrick Puckett,Callao,B,20,68,M
46751104,Lester Berry,Callao,B,18,61,F
52885668,Evangeline Morales,Callao,F,6,100,F
50031334,Mia Mosley,Lima,A,13,75,M
89971959,Holly Saunders,Callao,D,3,74,F
22035672,Marah Bonner,Lima,D,13,41,F
41441504,Jeremy Dorsey,Lima,B,18,87,F
80932905,Breanna Carr,Callao,C,4,91,F
46656040,Rosalyn Fox,Lima,D,9,70,M
58769011,Regina Lewis,Lima,D,13,55,M
19665552,Indigo Mcgowan,Lima,G,9,77,F
43824905,Velma Snyder,Callao,F,14,33,M
56806547,Sacha Cobb,Callao,B,9,70,M
35388981,Kalia Massey,Lima,B,12,50,F
81560619,Tad Chen,Lima,C,7,12,F
43145022,Brody Dickerson,Lima,G,12,95,M
58466303,Kylee Malone,Lima,G,5,14,M
83088071,Hop Davidson,Callao,A,1,65,M
51444591,Avram Thompson,Callao,C,18,53,F
73654228,Fletcher James,Lima,C,20,94,M
25483429,Uriel Melendez,Lima,B,20,94,F
35324465,Isabella Abbott,Callao,D,5,90,F
61550632,Jillian Webb,Lima,C,10,49,M
20517574,Abraham Kent,Lima,C,14,22,F
78129163,Kennedy Robbins,Lima,D,19,35,M
34032013,Anthony Smith,Lima,F,15,16,M
53162127,Roanna Mccarty,Lima,D,15,26,M
38376030,Zia Rogers,Callao,B,3,57,F
51308871,Calvin Gates,Lima,D,9,31,F
95119846,Troy Waller,Lima,G,18,22,F
99756500,Tucker Walker,Callao,G,0,30,M
35358156,Kaseem Dillon,Lima,B,5,77,F
88077184,Matthew Moreno,Lima,C,2,74,F
73133836,Kessie Perry,Lima,D,11,23,F
97236962,Zephania Chan,Callao,A,9,27,F
93092116,Athena French,Callao,C,3,43,F
89113542,Sonya Hodges,Lima,F,17,47,M
82842449,Emily Chang,Lima,G,13,48,M
25922213,Jarrod Petty,Lima,C,14,43,M
19806027,Karen Hoffman,Lima,B,1,95,F
31400045,Emma Welch,Lima,B,6,78,F
89038384,Regan Cervantes,Lima,F,8,31,M
75568507,Ross Ramsey,Lima,F,15,66,F
97793923,Catherine Delacruz,Callao,F,6,68,F
42606485,Prescott Ramirez,Callao,B,14,81,M
47539747,Jorden Guerrero,Lima,G,16,29,F
41803968,Igor Bond,Callao,C,6,14,F
78355072,Barclay Berg,Callao,C,1,19,M
34325052,Uma Williams,Lima,B,10,95,F
69955931,Harlan Peters,Callao,B,16,24,M
52082235,Tad Hawkins,Lima,D,7,47,F
96955142,Cruz Potter,Callao,F,11,33,M
75974310,Holly Fox,Callao,F,16,39,F
47755835,Gloria Stone,Lima,D,11,33,F
51817856,Ulla Woodard,Lima,F,12,17,M
63373020,Judah Jackson,Callao,B,13,64,M
49954413,Jasper Sanford,Callao,D,9,96,F
44003092,Paula Dunlap,Lima,B,5,10,M
58987262,Maile Fleming,Lima,B,11,98,M
25987310,Roth O'Neill,Lima,D,2,46,F
98256140,Halee Lawson,Lima,C,13,79,F
64156653,Donna Conley,Callao,B,6,91,F
64594735,Dalton Macias,Lima,C,9,55,M
31201072,Kieran Schultz,Callao,C,2,43,M
94684383,Cullen Edwards,Lima,F,8,47,M
10683245,Maxine Lamb,Callao,G,16,85,F
14452221,Ramona Acevedo,Callao,B,5,42,M
11068414,Luke Byrd,Lima,G,2,93,F
52163215,Maisie Larson,Callao,C,8,19,M
49707370,Cullen Davenport,Lima,B,0,24,M
89947271,Laurel Pittman,Callao,C,8,23,M
56274830,Ishmael Jefferson,Lima,B,8,35,M
35692219,Megan Morrison,Lima,F,4,93,F
73876887,Vanna Ayala,Callao,F,19,18,F
94919939,Elaine Hardin,Lima,F,1,11,M
24429835,Logan Cooper,Lima,C,11,81,M
19873398,Isaiah O'brien,Callao,D,1,46,M
71124579,Halee Hunter,Callao,F,8,53,M
77711323,Kylynn Hewitt,Callao,F,2,21,F
23578974,Miriam Horne,Lima,G,7,48,F
15177835,Gabriel Keith,Callao,F,19,59,M
84978724,Jerry Holt,Callao,G,9,85,M
29316009,Ciaran Holden,Lima,B,17,52,F
41378305,Colin Fry,Lima,D,15,55,F
97810793,Lee Knox,Lima,B,4,26,F
55738654,Plato Marshall,Lima,F,14,75,F
41251290,Denton Simmons,Lima,D,19,98,M
16613255,Rudyard Barron,Callao,A,18,60,F
28925906,Demetria Bond,Lima,B,11,51,F
90299791,Josiah Carroll,Lima,D,13,70,M
51269792,Kieran Sharp,Lima,B,20,30,F
45668376,Hyacinth Guy,Lima,B,5,47,M
52932018,Shay Keller,Lima,D,1,88,F
86699311,Sasha Kent,Lima,C,18,18,M
18643664,Amy English,Callao,B,7,31,F
98162477,Lee Pittman,Lima,A,16,86,M
73947196,Marvin Bender,Lima,B,15,99,F
75389664,Cara Barnett,Lima,B,6,48,M
15244493,Nyssa Cardenas,Lima,C,16,77,F
21384736,Marah Cortez,Callao,F,15,62,F
54034031,Avye Marks,Callao,F,1,57,M
23494362,Christian Benjamin,Callao,D,13,68,F
68040670,Carlos Brown,Lima,A,18,49,M
91928432,Carl Fulton,Lima,D,7,98,F
27266330,Kamal Kemp,Lima,D,3,33,F
45563817,Winter Bridges,Lima,B,16,35,M
46176239,Lacy Houston,Lima,A,9,98,M
72653196,Leigh Rosario,Callao,D,0,13,M
60012592,Elton Kennedy,Callao,B,0,53,F
19522908,Veda Harris,Lima,F,2,25,F
24877732,Abdul Mcmillan,Lima,C,16,16,M
70368472,Patrick Arnold,Lima,F,20,74,F
46132935,Emerald Thompson,Lima,B,9,36,F
72471561,Magee Burris,Callao,F,3,50,M
59281898,Edward Raymond,Callao,C,18,12,F
38205388,Gray Potts,Lima,D,1,50,M
76643385,Alika Reeves,Lima,B,7,76,F
75519739,Illiana Nicholson,Lima,F,7,30,M
82722214,Rina Michael,Lima,C,9,61,F
26312399,Lana Rutledge,Lima,D,4,99,F
92191651,Murphy Reynolds,Lima,D,15,40,M
